code,time,row,column,geometry,band,x,y,spatial_ref,blue,blue_mad,count,green,green_mad,nir08,nir08_mad,red,red_mad,swir16,swir16_mad,swir22,swir22_mad,twndwi,twndwi_mad,twndwi_stdev,mndwi,ndwi,nirwi
bare_terrain,2019,15,50,POINT (166.63538107191638 -22.265361030804076),1.0,668520.0,-2463120.0,0.0,0.011500000022351742,0.002722499892115593,2.0,0.01979999989271164,0.011563749983906746,0.10480000078678131,0.07361750304698944,0.010700000450015068,0.00826375000178814,0.04960000142455101,0.03639625012874603,0.02070000022649765,0.01480874978005886,0.17004257440567017,0.38628408312797546,0.38628408312797546,-0.42939484119415283,-0.6821829676628113,0.09965638071298599
bare_terrain,2019,15,50,POINT (166.6348828980242 -22.262852068047785),1.0,668460.0,-2462820.0,0.0,0.007799999788403511,0.002378749893978238,2.0,0.015799999237060547,0.01029875036329031,0.09440000355243683,0.061668749898672104,0.007400000002235174,0.0073425001464784145,0.03999999910593033,0.02802249975502491,0.017100000753998756,0.011701250448822975,0.24496106803417206,0.3457282483577728,0.3457282483577728,-0.43369176983833313,-0.7132486701011658,0.15107914805412292
bare_terrain,2019,15,50,POINT (166.63283863394872 -22.260900586055705),1.0,668250.0,-2462610.0,0.0,0.009200000204145908,0.00571999978274107,3.0,0.019600000232458115,0.005362499970942736,0.07580000162124634,0.044769998639822006,0.012799999676644802,0.0025025000795722008,0.04430000111460686,0.023787500336766243,0.027899999171495438,0.004124999977648258,0.2745152413845062,0.1909828931093216,0.3061915934085846,-0.386541485786438,-0.5890985131263733,0.25613346695899963
bare_terrain,2019,15,50,POINT (166.6298844570638 -22.262766816280813),1.0,667950.0,-2462820.0,0.0,0.024299999698996544,0.0028462500777095556,2.0,0.03720000013709068,0.0040837498381733894,0.12639999389648438,0.012663749977946281,0.035100001841783524,0.0037674999330192804,0.11879999935626984,0.007177500054240227,0.0722000002861023,0.004097499884665012,-0.2583937644958496,0.14121507108211517,0.14121507108211517,-0.5230768918991089,-0.5452322363853455,0.006289355922490358
bare_terrain,2019,15,50,POINT (166.62951267697565 -22.26208559879254),1.0,667920.0,-2462730.0,0.0,0.029400000348687172,0.002007500035688281,2.0,0.04340000078082085,0.00243375007994473,0.12800000607967377,0.014451250433921814,0.044199999421834946,0.0006462499732151628,0.12639999389648438,0.013199999928474426,0.08309999853372574,0.008387500420212746,-0.49119627475738525,0.15231330692768097,0.15231330692768097,-0.48881030082702637,-0.49358224868774414,0.0
bare_terrain,2019,15,50,POINT (166.62707473098777 -22.261221862469977),1.0,667650.0,-2462640.0,0.0,0.02290000021457672,0.0,1.0,0.033799998462200165,0.0,0.11140000075101852,0.0,0.03440000116825104,0.0,0.10750000178813934,0.0,0.06719999760389328,0.0,-0.22612264752388,0.0,0.0,-0.5215853452682495,-0.5344352722167969,0.0693400427699089
bare_terrain,2019,15,50,POINT (166.59153408129623 -22.273677364972308),1.0,663990.0,-2463990.0,0.0,0.006200000178068876,0.0016087499679997563,2.0,0.009700000286102295,0.0012237499468028545,0.025299999862909317,0.006599999964237213,0.006200000178068876,0.002172499895095825,0.014000000432133675,0.004386249929666519,0.011300000362098217,0.005238750018179417,0.6875957250595093,0.08381087332963943,0.08381087332963943,-0.18143460154533386,-0.4457142651081085,0.6699283123016357
bare_terrain,2019,15,50,POINT (166.59117335365866 -22.27610459023941),1.0,663930.0,-2464260.0,0.0,0.0066999997943639755,0.0013062499929219484,2.0,0.010999999940395355,0.005678750108927488,0.060499999672174454,0.03858250007033348,0.004699999932199717,0.0029150000773370266,0.01979999989271164,0.012457500211894512,0.00800000037997961,0.004509999882429838,0.4826165437698364,0.18461786210536957,0.18461786210536957,-0.2857142984867096,-0.6923076510429382,0.35809022188186646
bare_terrain,2019,15,50,POINT (166.58399251407795 -22.273299489802568),1.0,663210.0,-2463930.0,0.0,0.010200000368058681,0.0014299999456852674,2.0,0.01209999993443489,0.0006462499732151628,0.08460000157356262,0.006998749915510416,0.004999999888241291,0.0004124999977648258,0.02879999950528145,0.00262625003233552,0.011900000274181366,0.0008800000068731606,0.33977454900741577,0.0278401467949152,0.0278401467949152,-0.40831294655799866,-0.7497415542602539,0.20413924753665924
bare_terrain,2019,15,50,POINT (166.58050420227855 -22.26801940602297),1.0,662850.0,-2463330.0,0.0,0.019899999722838402,0.0013749999925494194,2.0,0.02969999983906746,0.0015124999918043613,0.11789999902248383,0.0010587499709799886,0.02889999933540821,0.0008800000068731606,0.10620000213384628,0.004537499975413084,0.06109999865293503,0.0006874999962747097,-0.26092013716697693,0.0008413430186919868,0.0008413430186919868,-0.5629138946533203,-0.5975610017776489,0.04107363522052765
bare_terrain,2019,15,50,POINT (166.43682192763302 -22.257901227421378),1.0,648060.0,-2462070.0,0.0,0.06800000369548798,0.02180749922990799,5.0,0.10580000281333923,0.029782500118017197,0.15800000727176666,0.03228500112891197,0.13840000331401825,0.03663000091910362,0.2079000025987625,0.019167499616742134,0.1770000010728836,0.04086500033736229,-0.3185647428035736,0.051049914211034775,0.05992209538817406,-0.3254701793193817,-0.1978771835565567,-0.10489510744810104
bare_terrain,2019,15,50,POINT (166.43596777705002 -22.25661406796217),1.0,647970.0,-2461920.0,0.0,0.0575999990105629,0.011577500030398369,5.0,0.09600000083446503,0.02046000026166439,0.1356000006198883,0.014657500199973583,0.11259999871253967,0.019167499616742134,0.1597999930381775,0.015894999727606773,0.1340000033378601,0.015097499825060368,-0.24911347031593323,0.027011293917894363,0.03550531342625618,-0.24941356480121613,-0.1709844470024109,-0.028831543400883675
bare_terrain,2019,15,50,POINT (166.43417449033424 -22.254424380219845),1.0,647790.0,-2461680.0,0.0,0.06560000032186508,0.01361250039190054,4.0,0.10360000282526016,0.009748750366270542,0.1420000046491623,0.02689499966800213,0.12680000066757202,0.017503749579191208,0.15240000188350677,0.01849374920129776,0.12319999933242798,0.013860000297427177,-0.23113220930099487,0.017811903730034828,0.07369142025709152,-0.19062498211860657,-0.15635178983211517,-0.051851846277713776
